,brown-haired,light brown,blond,red hair,black
woman16photo6,0.12,0.2111111111111111,0.6377777777777778,,0.03111111111111111
woman16photo8,,,,,
woman17photo0,0.24130879345603273,0.4601226993865031,0.22699386503067484,0.010224948875255624,0.06134969325153374
woman17photo1,0.29,0.15,0.065,0.245,0.25
woman18photo0,0.13657407407407407,0.19444444444444445,0.5763888888888888,0.046296296296296294,0.046296296296296294
woman18photo1,0.14285714285714285,0.19815668202764977,0.5668202764976958,0.041474654377880185,0.05069124423963134
woman19photo0,0.30500758725341426,0.1058421851289833,0.5500758725341427,0.0007587253414264037,0.03831562974203338
woman19photo1,0.4272959183673469,0.3622448979591837,0.15178571428571427,0.01403061224489796,0.044642857142857144
woman19photo2,0.034739454094292806,0.13234077750206782,0.8089330024813896,,0.023986765922249794
woman20photo1,0.3914626075446724,0.34215751158173396,0.18894771674387822,0.01654533421575116,0.06088682991396426
woman20photo2,0.15018315018315018,0.304029304029304,0.3772893772893773,0.11721611721611722,0.05128205128205128
woman21photo0,0.2032520325203252,0.34552845528455284,0.41114982578397213,0.005807200929152149,0.03426248548199768
woman21photo1,0.30749682337992373,0.34561626429479037,0.2947903430749682,0.0006353240152477764,0.05146124523506988
woman21photo2,0.21358355674709562,0.322609472743521,0.291331546023235,0.014298480786416443,0.1581769436997319
woman21photo3,0.31886285055704955,0.27506723011909334,0.3184786784479447,0.014214368036880523,0.07337687283903188
woman21photo4,0.27244772447724475,0.31426814268142683,0.3093480934809348,0.014452644526445265,0.08948339483394833
woman22photo2,,,,,
woman23photo0,0.03993453355155483,0.31260229132569556,0.6360065466448446,0.0003273322422258593,0.011129296235679214
woman23photo3,0.08139534883720931,0.29651162790697677,0.5465116279069767,0.011627906976744186,0.06395348837209303
woman25photo1,0.2096069868995633,0.2561863173216885,0.48326055312954874,,0.050946142649199416
woman26photo5,0.1124880838894185,0.340324118207817,0.4880838894184938,0.030505243088655862,0.028598665395614873
woman26photo6,,,,,
woman27photo1,0.24307692307692308,0.3669230769230769,0.31461538461538463,0.023846153846153847,0.05153846153846154
woman28photo0,0.19264544456641053,0.3572996706915478,0.4138309549945115,0.005488474204171241,0.030735455543358946
woman28photo1,0.3111979166666667,0.3359375,0.3001302083333333,0.0006510416666666666,0.052083333333333336
woman28photo2,0.22916666666666666,0.37430555555555556,0.25416666666666665,0.011111111111111112,0.13125
woman28photo3,0.3192632386799693,0.27398311588641594,0.32041442824251726,0.01419800460475825,0.07214121258633922
woman28photo4,0.2717491546264986,0.31386412542268677,0.3095604057792807,0.014448201660006148,0.09037811251152782
woman29photo0,0.09369024856596558,0.4808795411089866,0.40535372848948376,,0.020076481835564052
woman29photo1,0.19591141396933562,0.21635434412265758,0.5468483816013628,0.005110732538330494,0.03577512776831346
woman29photo2,0.3738532110091743,0.12958715596330275,0.43922018348623854,,0.05733944954128441
woman30photo0,0.13012221423436376,0.353882099209202,0.5061107117181883,0.00017972681524083394,0.009705248023005032
woman30photo1,,,,,1.0
woman30photo4,0.03481624758220503,0.04932301740812379,0.8955512572533849,,0.020309477756286266
woman31photo0,0.038560411311053984,0.1953727506426735,0.6670951156812339,0.05398457583547558,0.04498714652956298
woman31photo1,0.12280701754385964,0.15789473684210525,0.6842105263157895,,0.03508771929824561
woman31photo2,0.051429838173354024,0.23985812458434938,0.6998448237641322,0.002438483706495234,0.006428729771669253
woman31photo3,0.1568627450980392,0.21568627450980393,0.09803921568627451,0.29411764705882354,0.23529411764705882
woman31photo4,0.16544592847910383,0.48707453683757,0.31107281344248167,0.02068074105988798,0.015725980180956483
woman31photo5,0.07094829584975655,0.3732900533271505,0.5462555066079295,,0.00950614421516346
woman32photo7,,,,,
woman33photo0,,,,,
woman33photo1,0.2894736842105263,0.3026315789473684,0.15789473684210525,0.013157894736842105,0.23684210526315788
woman33photo3,0.20477815699658702,0.18771331058020477,0.5358361774744027,0.023890784982935155,0.04778156996587031
woman33photo5,0.2611111111111111,0.21666666666666667,0.3388888888888889,0.11666666666666667,0.06666666666666667
woman33photo7,0.03315963998105163,0.01468498342018001,0.4130743723353861,0.5187115111321648,0.02036949313121743
woman35photo0,0.43670886075949367,0.26582278481012656,0.14240506329113925,0.0031645569620253164,0.1518987341772152
woman35photo1,0.05254564346148137,0.1509573994359507,0.783583197268814,0.0007421701053881549,0.012171589728365741
woman35photo4,0.05042016806722689,0.10084033613445378,0.7983193277310925,,0.05042016806722689
woman37photo0,0.47591836734693876,0.1579591836734694,0.34959183673469385,0.00040816326530612246,0.016122448979591836
woman37photo1,0.3484298226874599,0.206579790643025,0.3185216834009827,0.008545182653279214,0.11792352061525316
woman37photo2,0.27055241409308395,0.23647962882412643,0.40336378135421197,0.008119472234304771,0.08148470349427288
woman40photo3,0.12781954887218044,0.21804511278195488,0.5864661654135338,,0.06766917293233082
woman41photo1,0.1596009975062344,0.13341645885286782,0.29052369077306733,0.34538653366583544,0.07107231920199501
woman41photo3,0.09939759036144578,0.16566265060240964,0.4427710843373494,0.23795180722891565,0.05421686746987952
woman42photo0,0.298210064167511,0.15231340763255657,0.430935494765282,,0.11854103343465046
woman42photo1,0.04133064516129032,0.07661290322580645,0.8618951612903226,,0.020161290322580645
woman43photo0,0.2032520325203252,0.34494773519163763,0.41114982578397213,0.005807200929152149,0.03484320557491289
woman43photo1,0.30749682337992373,0.34561626429479037,0.2947903430749682,0.0006353240152477764,0.05146124523506988
woman43photo2,0.22331460674157302,0.37359550561797755,0.25491573033707865,0.011235955056179775,0.136938202247191
woman43photo3,0.319369715603382,0.2751729438893159,0.3178324365872406,0.014219830899308224,0.07340507302075326
